Player,PlayersNthBuzzerBeater,Date,Year,Team,Location,Opp,Margin,Type,Assisted,AssistedGrouped,Distance,Minutes,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Mike Sanders,1,1/24/1987,1987,PHO,Away,IND,-1,2-pt FG,unassisted,Unassisted,6,5,4,1,2,0.5,0,0,,2,2,1,1,0,0,0,1.7
Louis Orr,1,1/19/1987,1987,NYK,Home,BOS,0,2-pt FG,unassisted,Unassisted,22,31,8,4,7,0.571,0,0,,0,0,,6,6,0,0,11.5
Danny Schayes,1,12/27/1986,1986,DEN,Away,SAS,0,Free throw,,Free Throw,,28,17,4,6,0.667,0,0,,9,10,0.9,8,1,0,3,14.4
Isiah Thomas,1,12/27/1986,1986,DET,Away,WSB,0,2-pt FG,unassisted,Unassisted,22,39,26,10,25,0.4,0,1,0,6,9,0.667,4,6,2,0,17.5
Patrick Ewing,1,12/25/1986,1986,NYK,Home,CHI,-1,2-pt FG,unassisted,Unassisted,10,41,28,13,29,0.448,0,0,,2,4,0.5,17,1,0,2,16.1
Darrell Griffith  ,2,12/16/1986,1986,UTA,Away,WSB,0,3-pt FG,K. Tripucka,Assisted,26,28,27,12,18,0.667,3,4,0.75,0,1,0,3,3,2,0,23.4
Fat Lever,1,11/26/1986,1986,DEN,Home,CHI,0,2-pt FG,unassisted,Unassisted,8,39,19,8,21,0.381,0,0,,3,4,0.75,12,4,1,0,13.7
Chuck Person  ,1,11/15/1986,1986,IND,Home,MIL,-2,3-pt FG,H. Williams,Assisted,33,45,14,6,14,0.429,1,3,0.333,1,2,0.5,11,4,0,1,12.8
Darrell Griffith  ,1,11/11/1986,1986,UTA,Home,DAL,-2,3-pt FG,R. Green,Assisted,33,17,15,5,11,0.455,2,3,0.667,3,6,0.5,2,0,0,0,7.3
Ralph Sampson,1,5/21/1986,1986,HOU,Away,LAL,0,2-pt FG,R. McCray,Assisted,10,45,29,10,15,0.667,0,0,,9,11,0.818,5,3,2,1,24.2
Dudley Bradley,1,4/18/1986,1986,WSB,Away,PHI,-2,3-pt FG,unassisted,Unassisted,27,15,9,2,5,0.4,2,3,0.667,3,4,0.75,2,1,0,0,5.4
Julius Erving  ,2,4/6/1986,1986,PHI,Home,BOS,-2,3-pt FG,unassisted,Unassisted,28,34,23,8,14,0.571,2,2,1,5,7,0.714,5,4,4,0,21.7
Joe Barry Carroll  ,2,3/23/1986,1986,GSW,Home,DEN,0,2-pt FG,G. Ballard,Assisted,21,36,31,14,28,0.5,0,0,,3,8,0.375,8,3,1,2,17.3
Julius Erving  ,1,2/28/1986,1986,PHI,Away,DAL,0,3-pt FG,M. Cheeks,Assisted,53,33,20,9,16,0.563,1,1,1,1,2,0.5,4,8,2,0,19
Sam Perkins  ,1,1/13/1986,1986,DAL,Away,SEA,-1,2-pt FG,unassisted,Unassisted,6,32,17,6,12,0.5,0,0,,5,6,0.833,5,2,0,1,10.8
Hakeem Olajuwon  ,1,1/11/1986,1986,HOU,Home,WSB,-1,2-pt FG,unassisted,Unassisted,0,42,18,8,22,0.364,0,0,,2,6,0.333,11,4,1,4,14.3
Ricky Pierce  ,1,12/28/1985,1985,MIL,Away,CLE,0,2-pt FG,unassisted,Unassisted,0,36,11,4,14,0.286,0,0,,3,4,0.75,4,1,1,0,3.9
Jim Paxson,1,12/13/1985,1985,POR,Away,GSW,0,3-pt FG,unassisted,Unassisted,25,36,33,13,20,0.65,1,1,1,6,7,0.857,5,3,1,0,26
Kiki Vandeweghe,1,12/10/1985,1985,POR,Home,GSW,0,Free throw,,Free Throw,,25,21,8,16,0.5,0,0,,5,6,0.833,2,1,1,0,15.3
Karl Malone,1,11/25/1985,1985,UTA,Away,IND,-1,2-pt FG,unassisted,Unassisted,0,26,11,4,9,0.444,0,0,,3,4,0.75,10,4,0,1,11.4
Clark Kellogg,1,11/16/1985,1985,IND,Home,BOS,0,2-pt FG,unassisted,Unassisted,5,30,21,8,12,0.667,0,0,,5,6,0.833,8,1,2,0,19.9
Dennis Johnson,1,6/5/1985,1985,BOS,Away,LAL,0,2-pt FG,L. Bird,Assisted,21,46,27,11,20,0.55,0,1,0,5,6,0.833,7,12,2,2,29.9
Paul Mokeski,1,4/12/1985,1985,MIL,Away,BOS,0,Free throw,,Free Throw,,28,7,2,3,0.667,0,0,,3,4,0.75,13,2,0,0,9.8
Bill Laimbeer  ,3,4/10/1985,1985,DET,Home,IND,0,2-pt FG,K. Tripucka,Assisted,16,38,20,9,18,0.5,0,0,,2,2,1,13,4,3,1,20.6
Walter Davis  ,3,3/7/1985,1985,PHO,Home,SAS,-1,3-pt FG,A. Scott,Assisted,22,29,21,9,16,0.563,1,1,1,2,2,1,2,7,1,0,14.5
Calvin Natt  ,2,3/2/1985,1985,DEN,Home,MIL,-1,2-pt FG,?,Assisted,22,40,29,12,22,0.545,0,0,,5,9,0.556,11,5,0,0,22
Larry Bird  ,3,1/29/1985,1985,BOS,Home,DET,-1,2-pt FG,unassisted,Unassisted,6,37,32,11,23,0.478,1,1,1,9,9,1,10,5,0,1,24.9
Larry Bird  ,2,1/27/1985,1985,BOS,Home,POR,-1,2-pt FG,unassisted,Unassisted,20,45,48,17,28,0.607,2,5,0.4,12,12,1,10,7,3,1,41
Bill Laimbeer  ,2,1/19/1985,1985,DET,Away,NJN,0,2-pt FG,unassisted,Unassisted,10,34,11,5,14,0.357,0,0,,1,2,0.5,12,1,1,1,5.4
Mike Evans,1,1/18/1985,1985,DEN,Home,WSB,0,2-pt FG,?,Assisted,10,10,4,2,5,0.4,0,0,,0,0,,0,2,1,0,1.9
Greg Ballard  ,4,1/16/1985,1985,WSB,Away,UTA,0,2-pt FG,D. Daye,Assisted,22,46,12,5,11,0.455,0,0,,2,2,1,11,4,0,0,10.8
Kareem Abdul-Jabbar  ,3,1/6/1985,1985,LAL,Home,SAS,-1,2-pt FG,M. Cooper,Assisted,15,40,28,11,20,0.55,0,0,,6,9,0.667,11,4,2,1,21.2
Kevin McHale,1,12/9/1984,1984,BOS,Home,ATL,-1,2-pt FG,unassisted,Unassisted,0,32,20,9,15,0.6,0,0,,2,2,1,10,0,0,2,18.7
Mike Gminski,1,11/3/1984,1984,NJN,Home,IND,-1,2-pt FG,unassisted,Unassisted,18,37,14,6,15,0.4,0,0,,2,4,0.5,8,3,0,5,13.5
Gus Williams  ,2,4/19/1984,1984,SEA,Away,DAL,0,3-pt FG,D. Vranes,Assisted,25,44,19,7,17,0.412,1,1,1,4,8,0.5,6,11,1,0,17.4
Bill Laimbeer  ,1,4/10/1984,1984,DET,Home,IND,0,2-pt FG,I. Thomas,Assisted,15,40,22,10,19,0.526,0,0,,2,2,1,22,1,2,2,24.8
George Gervin  ,2,3/27/1984,1984,SAS,Home,GSW,-2,3-pt FG,unassisted,Unassisted,25,31,13,4,13,0.308,1,1,1,4,6,0.667,5,4,1,0,5.8
Rolando Blackman  ,1,2/25/1984,1984,DAL,Away,UTA,0,2-pt FG,unassisted,Unassisted,0,36,19,8,19,0.421,0,0,,3,3,1,6,5,1,0,11.8
Micheal Ray Richardson  ,3,2/4/1984,1984,NJN,Away,CHI,0,3-pt FG,B. Willoughby,Assisted,28,29,18,8,13,0.615,1,1,1,1,1,1,3,5,1,0,15.3
Eddie Johnson  ,1,2/3/1984,1984,KCK,Away,NJN,0,2-pt FG,unassisted,Unassisted,16,33,32,13,21,0.619,0,0,,6,6,1,5,2,2,0,25.4
Cliff Robinson  ,3,1/31/1984,1984,CLE,Home,DET,-1,3-pt FG,L. Shelton,Assisted,25,41,32,13,25,0.52,1,1,1,5,8,0.625,21,2,0,4,24.6
Pat Cummings,1,1/25/1984,1984,DAL,Home,GSW,0,2-pt FG,B. Davis,Assisted,10,45,23,10,17,0.588,0,0,,3,4,0.75,10,4,0,1,14.2
Howard Carter,1,1/20/1984,1984,DEN,Home,KCK,-1,3-pt FG,?,Assisted,32,20,7,3,6,0.5,1,1,1,0,0,,1,1,0,0,4.2
Ray Williams,1,1/14/1984,1984,NYK,Away,CHI,0,Free throw,,Free Throw,,36,13,5,10,0.5,1,2,0.5,2,2,1,3,6,0,0,9.3
Caldwell Jones,1,12/9/1983,1983,HOU,Away,CHI,0,3-pt FG,unassisted,Unassisted,25,41,13,4,5,0.8,1,1,1,4,4,1,7,5,1,1,11.8
Buck Williams,1,11/23/1983,1983,NJN,Away,PHO,0,2-pt FG,D. Cook,Assisted,10,44,20,7,12,0.583,0,0,,6,11,0.545,12,4,4,1,17.9
Terry Cummings,1,11/20/1983,1983,SDC,Home,CLE,0,2-pt FG,B. Walton,Assisted,0,36,12,6,18,0.333,0,0,,0,0,,10,3,1,0,7.1
Orlando Woolridge,1,11/15/1983,1983,CHI,Home,DET,0,2-pt FG,D. Corzine,Assisted,20,33,27,11,16,0.688,0,0,,5,5,1,4,2,2,1,23.9
Sidney Moncrief  ,3,11/13/1983,1983,MIL,Home,SEA,-1,Free throw,,Free Throw,,43,30,8,16,0.5,0,0,,14,14,1,3,8,1,0,26.1
Robert Parish  ,1,11/8/1983,1983,BOS,Away,IND,0,2-pt FG,unassisted,Unassisted,5,36,16,6,9,0.667,0,0,,4,4,1,11,3,0,1,18
Dan Roundfield,1,10/29/1983,1983,ATL,Home,DET,0,2-pt FG,unassisted,Unassisted,18,35,23,10,15,0.667,0,0,,3,7,0.429,10,5,2,4,24.4
George Gervin  ,1,4/6/1983,1983,SAS,Away,PHI,0,3-pt FG,unassisted,Unassisted,27,42,32,12,24,0.5,1,1,1,7,8,0.875,6,3,4,1,26.8
Rory Sparrow  ,1,3/12/1983,1983,NYK,Home,POR,-1,3-pt FG,unassisted,Unassisted,28,32,13,5,8,0.625,1,1,1,2,2,1,2,3,1,0,8.7
Larry Bird  ,1,2/26/1983,1983,BOS,Away,PHO,-1,3-pt FG,C. Maxwell,Assisted,25,43,38,14,25,0.56,1,1,1,9,9,1,4,5,1,0,27
Cliff Robinson  ,2,2/23/1983,1983,CLE,Home,GSW,-1,2-pt FG,unassisted,Unassisted,0,43,23,10,26,0.385,0,0,,3,5,0.6,15,2,0,2,14.1
Jay Vincent,1,2/2/1983,1983,DAL,Home,LAL,0,2-pt FG,unassisted,Unassisted,12,34,15,7,16,0.438,0,0,,1,1,1,15,1,1,1,11.9
Joe Bryant,1,1/18/1983,1983,HOU,Home,WSB,0,2-pt FG,unassisted,Unassisted,0,31,14,6,12,0.5,0,0,,2,3,0.667,0,4,4,1,11.5
Herb Williams,1,12/30/1982,1982,IND,Away,UTA,-1,2-pt FG,B. Carter,Assisted,18,31,31,14,25,0.56,0,0,,3,5,0.6,6,8,,1,
Dan Issel,1,12/27/1982,1982,DEN,Home,GSW,0,2-pt FG,R. Williams,Assisted,20,29,15,5,15,0.333,0,0,,5,6,0.833,9,3,1,0,8.9
Greg Ballard  ,3,12/27/1982,1982,WSB,Home,CHI,0,2-pt FG,J. Ruland,Assisted,20,38,14,6,14,0.429,0,0,,2,3,0.667,8,4,1,0,10.8
Cliff Robinson  ,1,12/22/1982,1982,CLE,Home,IND,0,2-pt FG,W. Free,Assisted,12,32,23,10,22,0.455,0,0,,3,3,1,12,0,1,1,14.5
Lewis Lloyd,1,12/10/1982,1982,GSW,Away,SEA,-2,3-pt FG,L. Romar,Assisted,24,11,10,4,6,0.667,1,1,1,1,2,0.5,5,2,1,0,8.9
Frank Johnson,1,11/26/1982,1982,WSB,Away,IND,0,2-pt FG,unassisted,Unassisted,18,34,16,7,13,0.538,0,0,,2,3,0.667,1,6,0,0,
Gene Banks,1,11/26/1982,1982,SAS,Home,CHI,0,2-pt FG,B. Willoughby,Assisted,22,42,19,6,15,0.4,0,0,,7,8,0.875,15,7,5,1,27
Wes Matthews,1,11/9/1982,1982,ATL,Away,DEN,-2,3-pt FG,D. Roundfield,Assisted,30,23,10,3,6,0.5,1,2,0.5,3,5,0.6,2,6,0,1,9.3
Steve Hawes,1,11/6/1982,1982,ATL,Home,DET,0,2-pt FG,R. Sparrow,Assisted,22,19,5,2,5,0.4,0,0,,1,2,0.5,6,1,,0,
David Thompson,1,11/3/1982,1982,SEA,Home,SAS,-1,3-pt FG,G. Williams,Assisted,28,25,21,6,13,0.462,1,1,1,8,8,1,2,3,0,0,15.4
Sidney Moncrief  ,2,5/1/1982,1982,MIL,Home,PHI,-1,2-pt FG,unassisted,Unassisted,5,47,20,6,13,0.462,0,0,,8,9,0.889,2,4,1,0,
Darnell Valentine,1,3/19/1982,1982,POR,Away,UTA,0,2-pt FG,?,Assisted,15,21,10,4,14,0.286,0,0,,2,2,1,4,4,1,0,6.8
Johnny Moore,1,3/14/1982,1982,SAS,Home,CHI,0,2-pt FG,E. Rains,Assisted,22,27,4,1,6,0.167,0,0,,2,5,0.4,5,13,1,0,7.6
Gus Williams  ,1,3/12/1982,1982,SEA,Away,MIL,0,2-pt FG,unassisted,Unassisted,20,36,30,13,20,0.65,0,0,,4,6,0.667,1,6,1,0,23.5
James Silas  ,2,3/5/1982,1982,CLE,Away,POR,-1,Free throw,,Free Throw,,34,22,7,16,0.438,0,0,,8,9,0.889,3,4,0,0,13.1
World B. Free  ,4,2/25/1982,1982,GSW,Away,DAL,0,2-pt FG,unassisted,Unassisted,20,39,31,13,22,0.591,0,0,,5,7,0.714,3,1,0,0,17.2
Joe Barry Carroll  ,1,2/2/1982,1982,GSW,Home,LAL,0,Free throw,,Free Throw,,35,22,8,16,0.5,0,0,,6,8,0.75,9,0,1,1,12.6
Sidney Moncrief  ,1,1/26/1982,1982,MIL,Away,LAL,0,2-pt FG,unassisted,Unassisted,0,34,20,8,14,0.571,0,0,,4,7,0.571,5,7,3,1,
Reggie Theus  ,1,1/23/1982,1982,CHI,Away,NYK,-1,2-pt FG,A. Gilmore,Assisted,20,43,36,13,26,0.5,2,3,0.667,8,12,0.667,7,7,2,0,26.4
Greg Ballard  ,2,1/10/1982,1982,WSB,Away,NYK,0,3-pt FG,D. Collins,Assisted,25,49,27,12,27,0.444,1,,,2,3,0.667,11,4,,,
World B. Free  ,3,12/2/1981,1981,GSW,Home,CHI,-1,2-pt FG,unassisted,Unassisted,12,34,27,12,21,0.571,0,0,,3,8,0.375,2,9,1,0,19
Rickey Green,1,11/20/1981,1981,UTA,Away,CHI,0,2-pt FG,J. Hardy,Assisted,22,32,13,4,8,0.5,0,0,,5,7,0.714,1,4,4,0,11.9
Sonny Parker,1,11/13/1981,1981,GSW,Away,HOU,0,2-pt FG,unassisted,Unassisted,0,18,15,6,7,0.857,0,0,,3,4,0.75,4,5,1,0,17.4
Alex English  ,2,3/24/1981,1981,DEN,Away,SAS,0,2-pt FG,unassisted,Unassisted,21,35,33,15,22,0.682,0,0,,3,7,0.429,8,3,2,1,27.6
James Bailey,1,3/13/1981,1981,SEA,Away,DET,0,2-pt FG,unassisted,Unassisted,6,40,21,7,13,0.538,0,0,,7,10,0.7,9,0,,,
Phil Ford,1,2/18/1981,1981,KCK,Home,BOS,-1,2-pt FG,S. Lacey,Assisted,20,32,28,12,17,0.706,0,0,,4,4,1,3,10,1,0,
Kelvin Ransey,1,1/29/1981,1981,POR,Away,SDC,0,2-pt FG,unassisted,Unassisted,10,37,21,10,20,0.5,0,0,,1,2,0.5,6,8,1,1,15.1
Jamaal Wilkes  ,2,1/16/1981,1981,LAL,Away,NJN,0,2-pt FG,N. Nixon,Assisted,20,39,32,12,17,0.706,0,0,,8,10,0.8,6,5,4,0,27.8
Billy Ray Bates,1,12/30/1980,1980,POR,Home,PHI,-1,2-pt FG,K. Washington,Assisted,0,14,6,3,8,0.375,0,1,0,0,0,,0,3,0,0,2.3
James Silas  ,1,11/29/1980,1980,SAS,Away,KCK,0,Free throw,,Free Throw,,21,6,2,9,0.222,0,0,,2,4,0.5,3,3,1,0,
Micheal Ray Richardson  ,2,11/29/1980,1980,NYK,Home,POR,-2,3-pt FG,unassisted,Unassisted,25,43,20,7,13,0.538,1,2,0.5,5,6,0.833,5,8,2,0,18.4
Darwin Cook,1,10/31/1980,1980,NJN,Home,WSB,0,2-pt FG,J. van Breda Kolff,Assisted,20,23,10,5,14,0.357,0,,,0,0,,4,0,,,
Jamaal Wilkes  ,1,3/27/1980,1980,LAL,Away,UTA,0,2-pt FG,N. Nixon,Assisted,20,35,21,9,19,0.474,0,1,0,3,4,0.75,4,0,3,0,13.5
Ricky Sobers,1,3/5/1980,1980,CHI,Away,GSW,-2,3-pt FG,unassisted,Unassisted,28,32,8,3,8,0.375,1,1,1,1,2,0.5,2,7,0,1,6.6
Brian Winters  ,2,2/6/1980,1980,MIL,Home,CLE,0,2-pt FG,Q. Buckner,Assisted,21,37,19,9,17,0.529,0,1,0,1,1,1,6,5,3,0,16.8
Alex English  ,1,1/27/1980,1980,IND,Home,CLE,0,2-pt FG,unassisted,Unassisted,0,26,11,5,10,0.5,0,0,,1,1,1,8,6,1,0,13.2
Walter Davis  ,2,1/17/1980,1980,PHO,Home,ATL,0,2-pt FG,unassisted,Unassisted,14,33,19,9,17,0.529,0,0,,1,2,0.5,2,5,2,0,12
Greg Ballard  ,1,1/5/1980,1980,WSB,Away,UTA,-2,3-pt FG,W. Unseld,Assisted,24,28,20,9,12,0.75,1,1,1,1,1,1,9,1,,0,
Chris Ford,1,12/14/1979,1979,BOS,Home,MIL,0,3-pt FG,C. Maxwell,Assisted,30,38,15,5,8,0.625,3,6,0.5,2,2,1,4,5,3,0,
World B. Free  ,2,12/9/1979,1979,SDC,Away,POR,0,2-pt FG,unassisted,Unassisted,22,37,25,8,24,0.333,0,0,,9,10,0.9,5,6,1,0,14.3
Kevin Grevey,1,12/8/1979,1979,WSB,Home,ATL,-1,2-pt FG,W. Unseld,Assisted,15,32,19,5,13,0.385,0,,,9,9,1,7,4,,,
Micheal Ray Richardson  ,1,12/5/1979,1979,NYK,Away,WSB,0,2-Pt FG+FT,unassisted,Unassisted,0,43,16,4,9,0.444,0,,,8,9,0.889,10,10,3,,
Randy Smith  ,2,11/29/1979,1979,CLE,Home,NYK,0,2-pt FG,unassisted,Unassisted,0,29,16,8,15,0.533,0,1,0,0,0,,3,2,0,0,7
Calvin Natt  ,1,11/18/1979,1979,NJN,Home,SAS,0,2-pt FG,E. Jordan,Assisted,0,38,33,14,24,0.583,0,0,,5,6,0.833,13,1,1,1,
Moses Malone  ,2,11/13/1979,1979,HOU,Away,CHI,-1,Free throw,,Free Throw,,43,45,17,25,0.68,0,0,,11,13,0.846,11,2,1,2,35
Johnny Davis,1,11/10/1979,1979,IND,Away,GSW,0,3-pt FG,M. Johnson,Assisted,38,39,23,8,17,0.471,1,1,1,6,9,0.667,1,7,1,0,15.3
Marques Johnson  ,2,11/3/1979,1979,MIL,Away,CHI,0,2-pt FG,B. Winters,Assisted,0,39,30,12,24,0.5,0,0,,6,10,0.6,15,5,4,1,25.5
Randy Smith  ,1,11/1/1979,1979,CLE,Away,DET,0,2-pt FG,unassisted,Unassisted,20,33,17,7,14,0.5,0,0,,3,4,0.75,4,3,0,0,9.9
Walter Davis  ,1,10/28/1979,1979,PHO,Away,POR,-1,2-pt FG,A. Adams,Assisted,18,36,20,7,17,0.412,0,0,,6,8,0.75,4,6,2,0,15.1
Kermit Washington  ,2,10/23/1979,1979,POR,Home,KCK,0,2-pt FG,unassisted,Unassisted,0,34,6,3,3,1,0,0,,0,0,,9,1,0,3,7.6
Kareem Abdul-Jabbar  ,2,10/12/1979,1979,LAL,Away,SDC,-1,2-pt FG,unassisted,Unassisted,18,39,29,13,22,0.591,0,0,,3,4,0.75,10,4,2,3,25.1
Larry Wright,1,5/20/1979,1979,WSB,Home,SEA,0,Free throw,,Free Throw,,23,26,12,18,0.667,,,,2,3,0.667,3,2,1,0,19.5
Moses Malone  ,1,3/30/1979,1979,HOU,Away,SAS,-1,Free throw,,Free Throw,,40,36,12,20,0.6,,,,12,14,0.857,19,2,0,3,34.2
Ron Brewer,1,3/24/1979,1979,POR,Home,KCK,0,Free throw,,Free Throw,,37,24,9,13,0.692,,,,6,7,0.857,3,1,0,1,18.6
Charles Johnson  ,2,2/13/1979,1979,WSB,Away,SDC,0,2-pt FG,unassisted,Unassisted,25,34,8,4,15,0.267,,,,0,0,,3,2,3,,
Clifford Ray,1,1/31/1979,1979,GSW,Away,PHI,0,2-pt FG,J. Lucas,Assisted,0,40,8,4,12,0.333,,,,0,0,,9,6,2,0,7.3
Kermit Washington  ,1,1/17/1979,1979,SDC,Home,LAL,0,2-pt FG,unassisted,Unassisted,0,27,13,4,7,0.571,,,,5,6,0.833,8,1,3,0,11.6
Tom Boswell,1,1/2/1979,1979,DEN,Away,KCK,0,2-pt FG,unassisted,Unassisted,0,26,8,3,4,0.75,,,,2,2,1,8,2,0,0,11.4
George Johnson  ,2,12/3/1978,1978,NJN,Away,LAL,0,2-pt FG,unassisted,Unassisted,0,15,6,2,3,0.667,,,,2,3,0.667,4,1,0,0,4
Marques Johnson  ,1,10/22/1978,1978,MIL,Home,GSW,0,2-pt FG,J. Gianelli,Assisted,0,40,33,13,20,0.65,,,,7,9,0.778,12,5,2,1,32.6
Foots Walker,1,4/7/1978,1978,CLE,Away,ATL,0,2-pt FG,?,Assisted,18,34,17,5,9,0.556,,,,7,8,0.875,1,5,3,0,16.9
Jack Sikma  ,1,3/24/1978,1978,SEA,Home,IND,0,2-pt FG,unassisted,Unassisted,25,45,28,12,19,0.632,,,,4,6,0.667,10,5,3,,
Fred Brown  ,2,3/11/1978,1978,SEA,Away,HOU,0,2-pt FG,unassisted,Unassisted,0,31,25,11,18,0.611,,,,3,4,0.75,0,7,,0,
Lionel Hollins,1,2/26/1978,1978,POR,Away,CHI,-1,2-pt FG,unassisted,Unassisted,30,41,15,7,17,0.412,,,,1,1,1,5,8,2,2,13.4
John Williamson,1,2/12/1978,1978,NJN,Home,NYK,0,2-pt FG,K. Porter,Assisted,25,48,43,18,33,0.545,,,,7,8,0.875,7,1,,,
Tom Henderson,1,1/8/1978,1978,WSB,Away,NJN,-1,2-pt FG,unassisted,Unassisted,15,36,16,8,14,0.571,,,,0,0,,2,6,,,
Lonnie Shelton,1,12/13/1977,1977,NYK,Home,ATL,-1,2-pt FG,unassisted,Unassisted,15,15,19,6,7,0.857,,,,7,7,1,4,1,,,
Brian Winters  ,1,12/8/1977,1977,MIL,Away,GSW,-1,2-pt FG,?,Assisted,28,36,22,10,21,0.476,,,,2,3,0.667,4,4,1,0,13.7
Pete Maravich,1,11/24/1977,1977,NOJ,Home,DEN,0,2-pt FG,unassisted,Unassisted,0,43,31,12,31,0.387,,,,7,8,0.875,2,8,4,0,16.9
Jo Jo White  ,2,4/17/1977,1977,BOS,Away,PHI,0,2-pt FG,unassisted,Unassisted,18,38,21,10,19,0.526,,,,1,1,1,4,7,,0,
Truck Robinson,1,3/22/1977,1977,ATL,Away,BUF,0,2-pt FG,S. Hawes,Assisted,17,,34,11,,,,,,12,12,1,,,,,
Quinn Buckner,1,3/12/1977,1977,MIL,Home,IND,0,2-pt FG,?,Assisted,20,38,12,5,11,0.455,,,,2,2,1,6,9,0,0,
John Drew,1,3/8/1977,1977,ATL,Home,PHI,-1,2-pt FG,L. Hudson,Assisted,21,38,30,11,23,0.478,,,,8,10,0.8,6,1,,,
Swen Nater,1,2/17/1977,1977,MIL,Home,GSW,0,2-pt FG,D. Meyers,Assisted,10,40,12,6,13,0.462,,,,0,0,,12,3,0,1,
Walt Frazier  ,2,12/18/1976,1976,NYK,Home,CLE,0,2-pt FG,unassisted,Unassisted,0,48,24,12,20,0.6,,,,0,0,,9,9,2,0,
Artis Gilmore,1,12/17/1976,1976,CHI,Home,SAS,0,2-pt FG,M. Johnson,Assisted,0,36,19,8,13,0.615,,,,3,5,0.6,21,3,0,1,
Ken Charles,1,12/14/1976,1976,ATL,Home,LAL,0,2-pt FG,unassisted,Unassisted,20,26,20,10,16,0.625,,,,0,0,,0,7,,,
Brian Taylor,1,11/23/1976,1976,KCK,Away,NYK,0,Free throw,,Free Throw,,32,14,5,15,0.333,,,,4,5,0.8,5,4,6,0,
John Johnson,1,11/20/1976,1976,HOU,Home,KCK,-1,2-pt FG,J. Lucas,Assisted,15,44,30,14,17,0.824,,,,2,2,1,3,5,0,0,
Rich Jones,1,10/22/1976,1976,NYN,Away,GSW,-1,2-pt FG,J. van Breda Kolff,Assisted,20,30,14,6,14,0.429,,,,2,2,1,8,0,0,0,
Jim Cleamons,1,4/22/1976,1976,CLE,Home,WSB,-1,2-pt FG,unassisted,Unassisted,0,36,6,2,9,0.222,,,,2,2,1,9,4,0,1,
