Player,PlayersNthBuzzerBeater,Date,Year,Team,Location,Opp,Margin,Type,Assisted,AssistedGrouped,Distance,Minutes,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
World B. Free  ,1,4/2/1976,1976,PHI,Home,WSB,0,2-pt FG,unassisted,Unassisted,22,19,11,4,11,0.364,,,,3,5,0.6,1,1,,,
Elvin Hayes  ,3,2/29/1976,1976,WSB,Home,HOU,0,2-pt FG,W. Unseld,Assisted,20,44,21,10,17,0.588,,,,1,2,0.5,18,3,0,4,
Curtis Perry,1,2/21/1976,1976,PHO,Away,HOU,0,2-pt FG,unassisted,Unassisted,8,42,20,8,15,0.533,,,,4,6,0.667,14,4,1,0,
Slick Watts,1,2/15/1976,1976,SEA,Home,DET,0,2-pt FG,unassisted,Unassisted,28,40,14,7,14,0.5,,,,0,0,,4,8,,,
George Johnson  ,1,2/14/1976,1976,GSW,Home,DET,0,Free throw,,Free Throw,,26,5,2,3,0.667,,,,1,2,0.5,9,1,0,3,
Kareem Abdul-Jabbar  ,1,1/13/1976,1976,LAL,Away,CHI,0,2-pt FG,unassisted,Unassisted,15,47,35,13,27,0.481,,,,9,12,0.75,21,2,3,6,
Tom Burleson,1,1/9/1976,1976,SEA,Away,PHO,0,2-pt FG,unassisted,Unassisted,0,43,25,10,16,0.625,,,,5,8,0.625,8,2,1,2,
Bob McAdoo,1,1/6/1976,1976,BUF,Home,LAL,-1,2-pt FG,?,Assisted,24,48,41,14,32,0.438,,,,13,19,0.684,15,4,0,2,
Jack Marin,1,1/5/1976,1976,CHI,Home,HOU,-1,2-pt FG,unassisted,Unassisted,12,21,14,5,13,0.385,,,,4,4,1,3,3,1,0,
Mike Newlin,1,11/29/1975,1975,HOU,Home,PHI,-1,2-pt FG,?,Assisted,20,42,22,8,14,0.571,,,,6,6,1,4,11,3,,
Fred Carter,1,11/25/1975,1975,PHI,Home,GSW,-1,2-pt FG,unassisted,Unassisted,25,41,20,10,21,0.476,,,,0,0,,5,6,3,0,
Jim Brewer,1,3/16/1975,1975,CLE,Away,NOJ,0,2-pt FG,unassisted,Unassisted,0,43,24,11,21,0.524,,,,2,3,0.667,15,2,1,1,
Tiny Archibald,1,3/6/1975,1975,KCO,Home,BUF,-1,2-pt FG,R. Behagen,Assisted,30,,17,6,18,0.333,,,,5,6,0.833,4,4,0,1,
Phil Chenier,1,2/6/1975,1975,WSB,Away,GSW,-1,Free throw,,Free Throw,,43,31,11,33,0.333,,,,9,10,0.9,4,4,1,2,
John Gianelli,1,1/30/1975,1975,NYK,Away,ATL,0,2-pt FG,W. Frazier,Assisted,0,44,18,7,11,0.636,,,,4,4,1,10,2,,,
Jon McGlocklin,1,1/27/1975,1975,MIL,Away,NOJ,0,2-pt FG,M. Davis,Assisted,20,41,17,8,16,0.5,,,,1,2,0.5,3,1,3,0,
Walt Frazier  ,1,1/4/1975,1975,NYK,Home,CLE,-1,2-pt FG,E. Monroe,Assisted,20,46,24,10,17,0.588,,,,4,5,0.8,7,4,1,0,
Paul Westphal,1,12/14/1974,1974,BOS,Away,ATL,0,2-pt FG,D. Nelson,Assisted,30,24,14,7,13,0.538,,,,0,0,,4,,,,
Charles Johnson  ,1,10/25/1974,1974,GSW,Away,POR,0,2-pt FG,C. Ray,Assisted,18,45,16,8,22,0.364,,,,0,0,,6,7,3,0,
Jo Jo White  ,1,4/12/1974,1974,BOS,Away,BUF,0,Free throw,,Free Throw,,40,18,8,22,0.364,,,,2,2,1,3,3,,,
Jim McMillian,1,4/6/1974,1974,BUF,Home,BOS,0,2-pt FG,unassisted,Unassisted,0,38,15,7,17,0.412,,,,1,5,0.2,18,2,,,
Fred Brown  ,1,3/23/1974,1974,SEA,Away,GSW,0,2-pt FG,W. Hazzard,Assisted,20,45,58,24,37,0.649,,,,10,13,0.769,6,3,2,0,
Barry Clemens,1,3/15/1974,1974,CLE,Home,BOS,-1,2-pt FG,unassisted,Unassisted,28,2,4,1,1,1,,,,2,2,1,2,0,0,0,
Rick Barry  ,3,3/7/1974,1974,GSW,Away,MIL,0,2-pt FG,J. Mullins,Assisted,24,46,31,15,36,0.417,,,,1,1,1,6,10,2,0,
Jerry Sloan,1,2/15/1974,1974,CHI,Away,MIL,0,2-pt FG,N. Van Lier,Assisted,18,40,22,10,16,0.625,,,,2,2,1,10,3,,0,
Bob Weiss,1,2/5/1974,1974,CHI,Home,BOS,0,2-pt FG,B. Love,Assisted,20,18,10,3,5,0.6,,,,4,4,1,2,1,1,0,
George Trapp,1,2/5/1974,1974,DET,Away,POR,0,2-pt FG,?,Assisted,25,24,10,5,11,0.455,,,,0,0,,6,0,0,1,
Rick Barry  ,2,1/31/1974,1974,GSW,Away,HOU,-1,2-pt FG,C. Johnson,Assisted,28,44,38,15,29,0.517,,,,8,11,0.727,3,4,0,2,
Jerry West  ,4,1/18/1974,1974,LAL,Away,KCO,-1,2-pt FG,C. Hawkins,Assisted,21,20,7,3,12,0.25,,,,1,2,0.5,3,5,2,,
Jim Price,1,12/18/1973,1973,LAL,Home,MIL,0,2-pt FG,B. Bridges,Assisted,25,36,16,7,10,0.7,,,,2,2,1,4,11,4,,
Jimmy Walker  ,2,12/16/1973,1973,KCO,Home,DET,-1,2-pt FG,D. Kojis,Assisted,12,,25,12,18,0.667,,,,1,2,0.5,4,3,,,
Bob Love,1,11/24/1973,1973,CHI,Home,DET,0,2-pt FG,N. Van Lier,Assisted,22,50,31,12,27,0.444,,,,7,10,0.7,11,0,3,1,
Howard Komives,1,1/18/1973,1973,BUF,Away,ATL,0,Free throw,,Free Throw,,,10,3,11,0.273,,,,4,5,0.8,2,,,,
Earl Monroe,1,1/12/1973,1973,NYK,Away,HOU,-1,2-pt FG,unassisted,Unassisted,10,44,25,10,16,0.625,,,,5,6,0.833,6,6,,,
Dave DeBusschere,1,12/30/1972,1972,NYK,Home,BAL,0,2-pt FG,E. Monroe,Assisted,20,39,16,8,18,0.444,,,,0,0,,9,5,,,
Don May  ,2,12/27/1972,1972,ATL,N,PHI,-1,2-pt FG,unassisted,Unassisted,10,15,14,6,11,0.545,,,,2,2,1,7,2,,,
John Brisker,1,11/18/1972,1972,SEA,Away,POR,0,2-pt FG,unassisted,Unassisted,20,18,14,6,12,0.5,,,,2,2,1,3,3,,,
Rick Barry  ,1,10/16/1972,1972,GSW,Home,BAL,-1,2-pt FG,unassisted,Unassisted,0,40,22,10,28,0.357,,,,2,2,1,8,3,,,
Dick Snyder  ,2,2/16/1972,1972,SEA,Home,BOS,-1,2-pt FG,B. Clemens,Assisted,25,46,23,10,17,0.588,,,,3,4,0.75,3,5,,,
Wes Unseld,1,1/26/1972,1972,BAL,Home,BUF,-1,2-pt FG,G. Johnson,Assisted,0,51,16,8,16,0.5,,,,0,0,,20,7,,,
Dick Van Arsdale,1,1/11/1972,1972,PHO,Away,MIL,-1,Free throw,,Free Throw,,41,13,2,8,0.25,,,,9,13,0.692,2,4,,,
Jimmy Walker  ,1,1/2/1972,1972,DET,Away,HOU,0,2-pt FG,unassisted,Unassisted,16,,26,9,15,0.6,,,,8,8,1,7,,,,
Walt Wesley,1,12/28/1971,1971,CLE,Home,POR,0,Free throw,,Free Throw,,47,22,9,21,0.429,,,,4,7,0.571,18,3,,,
John Havlicek  ,2,12/27/1971,1971,BOS,Home,GSW,0,2-pt FG,D. Nelson,Assisted,25,46,28,12,24,0.5,,,,4,5,0.8,12,8,,,
Elvin Hayes  ,2,12/12/1971,1971,HOU,Home,SEA,0,2-pt FG,D. Gibbs,Assisted,15,41,34,12,27,0.444,,,,10,15,0.667,16,1,,,
John Havlicek  ,1,11/5/1971,1971,BOS,Home,DET,-1,2-pt FG,J. White,Assisted,40,48,14,6,23,0.261,,,,2,3,0.667,15,11,,,
Don May  ,1,10/29/1971,1971,ATL,Away,CLE,-1,2-pt FG,B. Bridges,Assisted,35,41,28,13,21,0.619,,,,2,2,1,9,1,,,
Connie Hawkins,1,10/29/1971,1971,PHO,Away,PHI,0,2-pt FG,P. Silas,Assisted,28,38,19,6,19,0.316,,,,7,8,0.875,8,3,,,
Bob Kauffman,1,10/29/1971,1971,BUF,Away,POR,-1,2-pt FG,unassisted,Unassisted,0,44,26,11,17,0.647,,,,4,5,0.8,11,5,,,
Dave Sorenson,1,1/25/1971,1971,CLE,Home,BOS,-1,2-pt FG,J. Johnson,Assisted,22,14,10,2,2,1,,,,6,6,1,1,1,,,
George Wilson,1,12/15/1970,1970,BUF,Home,LAL,0,2-pt FG,?,Assisted,30,24,9,4,8,0.5,,,,1,1,1,2,0,,,
Walt Bellamy,1,11/13/1970,1970,ATL,Away,BOS,0,2-pt FG,B. Bridges,Assisted,0,33,13,4,8,0.5,,,,5,6,0.833,13,1,,,
Happy Hairston,1,1/24/1970,1970,LAL,Away,SEA,-1,2-pt FG,J. Egan,Assisted,0,46,22,9,14,0.643,,,,4,5,0.8,17,2,,,
Willis Reed,1,12/25/1969,1969,NYK,Home,DET,-1,2-pt FG,W. Frazier,Assisted,0,44,33,14,24,0.583,,,,5,8,0.625,15,2,,,
Clem Haskins,1,12/6/1969,1969,CHI,Home,BOS,0,2-pt FG,A. Tucker,Assisted,40,48,23,7,20,0.35,,,,9,11,0.818,5,21,,,
Hal Greer  ,2,12/5/1969,1969,PHI,Away,BOS,-1,2-pt FG,B. Cunningham,Assisted,0,44,39,15,23,0.652,,,,9,10,0.9,3,4,,,
Don Kojis,1,11/10/1969,1969,SDR,N,SFW,-1,2-pt FG,?,Assisted,30,25,20,6,20,0.3,,,,8,10,0.8,9,2,,,
Stan McKenzie,1,11/7/1969,1969,PHO,Away,LAL,0,2-pt FG,unassisted,Unassisted,18,16,6,3,8,0.375,,,,0,0,,4,2,,,
Elvin Hayes  ,1,4/4/1969,1969,SDR,Home,ATL,0,2-pt FG,?,Assisted,18,,30,13,20,0.65,,,,4,5,0.8,20,1,,,
Jim Washington,1,3/4/1969,1969,CHI,Home,PHI,-1,2-pt FG,unassisted,Unassisted,10,46,30,13,26,0.5,,,,4,8,0.5,15,2,,,
Bob Rule,1,2/23/1969,1969,SEA,Home,BOS,0,2-pt FG,L. Wilkens,Assisted,35,44,30,13,24,0.542,,,,4,10,0.4,13,2,,,
Zelmo Beaty,1,12/29/1968,1968,ATL,Home,BAL,0,2-pt FG,unassisted,Unassisted,18,37,23,8,18,0.444,,,,7,8,0.875,7,1,,,
Gus Johnson,1,11/23/1968,1968,BAL,Home,DET,-1,2-pt FG,unassisted,Unassisted,0,,32,13,,,,,,6,7,0.857,,,,,
Bailey Howell,1,2/7/1968,1968,BOS,Home,STL,-1,2-pt FG,L. Siegfried,Assisted,0,37,17,5,13,0.385,,,,7,9,0.778,7,0,,,
Cazzie Russell  ,2,1/31/1968,1968,NYK,Away,CIN,0,2-pt FG,unassisted,Unassisted,12,31,21,10,21,0.476,,,,1,1,1,6,6,,,
Bob Boozer  ,3,12/8/1967,1967,CHI,Away,SEA,-1,2-pt FG,unassisted,Unassisted,0,42,21,5,12,0.417,,,,11,13,0.846,13,2,,,
Bud Olsen,1,11/19/1967,1967,SEA,Home,DET,0,2-pt FG,unassisted,Unassisted,0,13,3,1,2,0.5,,,,1,1,1,6,4,,,
Dick Snyder  ,1,11/11/1967,1967,STL,Home,SFW,-1,2-pt FG,unassisted,Unassisted,0,38,14,7,17,0.412,,,,0,0,,2,4,,,
Cazzie Russell  ,1,10/17/1967,1967,NYK,Home,SFW,0,2-pt FG,?,Assisted,30,24,23,10,24,0.417,,,,3,3,1,5,2,,,
Bob Boozer  ,2,1/20/1967,1967,CHI,Home,DET,-1,Free throw,,Free Throw,,41,27,7,16,0.438,,,,13,15,0.867,6,1,,,
Richie Guerin  ,2,1/2/1967,1967,STL,N,DET,0,2-pt FG,unassisted,Unassisted,25,43,41,18,25,0.72,,,,5,9,0.556,1,5,,,
Richie Guerin  ,1,12/15/1966,1966,STL,N,BOS,0,2-pt FG,unassisted,Unassisted,0,39,23,10,24,0.417,,,,3,4,0.75,3,4,,,
Fred Hetzel,1,12/9/1966,1966,SFW,Away,LAL,-1,2-pt FG,N. Thurmond,Assisted,15,22,14,4,9,0.444,,,,6,6,1,5,1,,,
Bill Bridges,1,12/2/1966,1966,STL,Home,NYK,0,2-pt FG,unassisted,Unassisted,14,44,22,9,19,0.474,,,,4,7,0.571,27,2,,,
Jim King,1,11/26/1966,1966,SFW,Home,CHI,0,2-pt FG,N. Thurmond,Assisted,30,26,24,10,15,0.667,,,,4,4,1,5,3,,,
Wilt Chamberlain  ,3,12/29/1965,1965,PHI,Away,DET,0,Free throw,,Free Throw,,48,34,14,28,0.5,,,,6,13,0.462,23,3,,,
Oscar Robertson,1,12/26/1965,1965,CIN,Away,STL,0,2-pt FG,unassisted,Unassisted,6,48,37,12,21,0.571,,,,13,16,0.813,7,9,,,
Guy Rodgers,1,11/12/1965,1965,SFW,Away,DET,-1,Free throw,,Free Throw,,35,16,6,20,0.3,,,,4,6,0.667,9,8,,,
Jim Barnes,1,3/9/1965,1965,NYK,Home,PHI,0,2-pt FG,unassisted,Unassisted,0,46,20,9,25,0.36,,,,2,4,0.5,16,4,,,
Cliff Hagan  ,4,3/6/1965,1965,STL,Home,LAL,0,2-pt FG,unassisted,Unassisted,0,42,32,13,20,0.65,,,,6,6,1,5,3,,,
Jerry West  ,3,3/3/1965,1965,LAL,Away,BOS,0,2-pt FG,W. Hazzard,Assisted,20,43,30,10,27,0.37,,,,10,12,0.833,6,6,,,
Bob Boozer  ,1,1/15/1965,1965,NYK,Away,SFW,0,2-pt FG,unassisted,Unassisted,0,27,15,6,12,0.5,,,,3,4,0.75,9,0,,,
Ray Scott,1,11/20/1964,1964,DET,Away,BAL,-1,2-pt FG,D. Butcher,Assisted,20,,14,7,,,,,,0,0,,,,,,
Bob Pettit  ,2,11/1/1964,1964,STL,Away,LAL,-1,Free throw,,Free Throw,,35,24,8,17,0.471,,,,8,8,1,14,1,,,
Elgin Baylor,1,3/25/1964,1964,LAL,Home,STL,0,2-pt FG,unassisted,Unassisted,22,46,23,7,17,0.412,,,,9,9,1,16,11,,,
Wilt Chamberlain  ,2,12/28/1963,1963,SFW,Away,BAL,0,2-pt FG,A. Attles,Assisted,12,48,26,11,24,0.458,,,,4,8,0.5,19,6,,,
Hal Greer  ,1,11/26/1963,1963,PHI,Home,BAL,0,2-pt FG,unassisted,Unassisted,25,,30,13,35,0.371,,,,4,5,0.8,17,6,,,
Jerry West  ,2,4/2/1963,1963,LAL,Home,STL,0,2-pt FG,unassisted,Unassisted,15,41,22,8,20,0.4,,,,6,8,0.75,12,4,,,
Wilt Chamberlain  ,1,2/19/1963,1963,SFW,Home,LAL,0,2-pt FG,G. Rodgers,Assisted,12,48,39,13,33,0.394,,,,13,18,0.722,36,7,,,
Cliff Hagan  ,3,2/13/1963,1963,STL,Away,NYK,-1,2-pt FG,?,Assisted,30,,20,9,,,,,,2,2,1,,,,,
Jerry West  ,1,4/10/1962,1962,LAL,Home,BOS,0,2-pt FG,unassisted,Unassisted,0,41,36,11,19,0.579,,,,14,16,0.875,4,2,,,
Ed Conlin  ,2,11/4/1961,1961,PHW,Home,DET,0,2-Pt FG+FT,unassisted,Unassisted,0,,8,3,12,0.25,,,,2,2,1,5,4,,,
Dick Garmaker,1,12/13/1960,1960,NYK,Home,BOS,0,2-pt FG,unassisted,Unassisted,0,,14,6,,,,,,2,2,1,,,,,
Gene Shue,1,11/15/1960,1960,DET,N,BOS,-1,2-pt FG,?,Assisted,,,26,9,,,,,,8,10,0.8,,,,,
Ed Conlin  ,1,10/28/1960,1960,PHW,Home,LAL,0,2-pt FG,G. Rodgers,Assisted,30,,10,5,15,0.333,,,,0,1,0,10,0,,,
Tom Heinsohn,1,3/24/1960,1960,BOS,Away,PHW,0,2-pt FG,unassisted,Unassisted,0,31,22,7,16,0.438,,,,8,10,0.8,7,3,,,
Larry Costello,1,2/10/1960,1960,SYR,N,MNL,-1,2-pt FG,unassisted,Unassisted,,,14,4,,,,,,6,6,1,,,,,
Paul Arizin,1,12/6/1959,1959,PHW,Home,DET,0,2-pt FG,T. Gola,Assisted,40,,33,11,25,0.44,,,,11,12,0.917,8,1,,,
Kenny Sears,1,11/29/1959,1959,NYK,Away,PHW,-1,2-pt FG,J. George,Assisted,20,,17,7,14,0.5,,,,3,3,1,5,1,,,
Cliff Hagan  ,2,3/11/1959,1959,STL,Away,SYR,0,2-pt FG,?,Assisted,,,22,10,,,,,,2,4,0.5,11,,,,
Bill Sharman  ,3,2/11/1959,1959,BOS,Home,PHW,0,2-pt FG,B. Cousy,Assisted,10,30,21,9,22,0.409,,,,3,3,1,5,3,,,
Ray Felix,1,1/31/1959,1959,NYK,N,SYR,0,2-pt FG,unassisted,Unassisted,,,24,10,,,,,,4,7,0.571,,,,,
Walter Dukes,1,2/16/1958,1958,DET,Away,STL,0,2-pt FG,unassisted,Unassisted,0,,19,6,10,0.6,,,,7,13,0.538,,,,,
Neil Johnston  ,2,1/17/1958,1958,PHW,N,NYK,-1,2-pt FG,unassisted,Unassisted,15,,21,8,17,0.471,,,,5,10,0.5,10,1,,,
Cliff Hagan  ,1,4/11/1957,1957,STL,Home,BOS,0,2-pt FG,unassisted,Unassisted,0,31,16,7,14,0.5,,,,2,3,0.667,20,4,,,
Dolph Schayes  ,3,3/9/1957,1957,SYR,Home,BOS,0,2-pt FG,unassisted,Unassisted,17,,36,9,,,,,,18,18,1,,,,,
Bob Harrison  ,2,2/23/1957,1957,SYR,Away,MNL,0,2-pt FG,?,Assisted,40,,10,4,11,0.364,,,,2,3,0.667,,,,,
Bill Sharman  ,2,12/22/1956,1956,BOS,Home,STL,0,2-pt FG,B. Cousy,Assisted,15,34,8,3,14,0.214,,,,2,2,1,,3,,,
Bob Harrison  ,1,2/20/1956,1956,STL,N,FTW,0,2-pt FG,?,Assisted,30,,4,2,,,,,,0,0,,,,,,
Bob Cousy,1,2/9/1956,1956,BOS,Away,SYR,-1,2-pt FG,unassisted,Unassisted,,44,17,6,18,0.333,,,,5,8,0.625,8,9,,,
Bob Pettit  ,1,2/8/1956,1956,STL,N,BOS,-1,2-pt FG,unassisted,Unassisted,0,46,36,13,24,0.542,,,,10,11,0.909,17,,,,
Richie Regan,1,12/10/1955,1955,ROC,Home,FTW,-1,2-pt FG,?,Assisted,25,,11,5,,,,,,1,1,1,,,,,
Jim Tucker,1,11/5/1955,1955,SYR,Home,FTW,-1,2-pt FG,P. Seymour,Assisted,,16,3,1,6,0.167,,,,1,1,1,4,1,,,
Dick Farley,1,2/19/1955,1955,SYR,Away,NYK,0,2-pt FG,P. Seymour,Assisted,35,,16,6,,,,,,4,5,0.8,,,,,
Jim Baechtold,1,2/13/1955,1955,NYK,Away,BOS,0,2-pt FG,unassisted,Unassisted,15,33,16,5,14,0.357,,,,6,6,1,,8,,,
Dolph Schayes  ,2,1/19/1955,1955,SYR,N,PHW,0,Free throw,,Free Throw,,36,22,5,17,0.294,,,,12,13,0.923,19,1,,,
Vern Mikkelsen,1,12/8/1954,1954,MNL,Away,BOS,0,Free throw,,Free Throw,,40,25,7,20,0.35,,,,11,11,1,,2,,,
Odie Spears,1,12/5/1954,1954,ROC,Away,FTW,0,Free throw,,Free Throw,,,14,5,,,,,,4,5,0.8,,,,,
Cal Christensen,1,10/30/1954,1954,ROC,Home,BOS,0,Free throw,,Free Throw,,,5,1,,,,,,3,4,0.75,,,,,
Irv Bemoras  ,2,2/23/1954,1954,MLH,N,SYR,0,2-pt FG,B. Tosheff,Assisted,0,11,6,3,8,0.375,,,,0,1,0,3,1,,,
Irv Bemoras  ,1,2/21/1954,1954,MLH,Away,FTW,0,Free throw,,Free Throw,,,9,3,,,,,,3,3,1,,,,,
Carl Braun  ,4,1/22/1954,1954,NYK,N,PHW,0,2-pt FG,?,Assisted,,,3,1,,,,,,1,1,1,,,,,
Wally Osterkorn,1,1/16/1954,1954,SYR,Away,ROC,0,2-pt FG,unassisted,Unassisted,10,,15,5,,,,,,5,8,0.625,,,,,
Carl Braun  ,3,12/19/1953,1953,NYK,Away,BLB,0,2-pt FG,unassisted,Unassisted,,,13,5,,,,,,3,3,1,,,,,
Mel Payton,1,3/13/1953,1953,INO,Home,MLH,0,2-pt FG,?,Assisted,,,5,2,,,,,,1,2,0.5,,,,,
Arnie Risen,1,3/8/1953,1953,ROC,Away,FTW,0,2-pt FG,?,Assisted,15,,22,7,,,,,,8,12,0.667,,,,,
George Ratkovicz,1,2/11/1953,1953,MLH,N,INO,0,2-pt FG,?,Assisted,25,,5,1,,,,,,3,3,1,,,,,
Vince Boryla  ,2,1/27/1953,1953,NYK,Away,ROC,0,2-pt FG,?,Assisted,40,,12,5,,,,,,2,3,0.667,,,,,
Andy Phillip  ,3,12/27/1952,1952,FTW,N,NYK,-1,2-pt FG,?,Assisted,0,,15,5,,,,,,5,5,1,,,,,
Bill Sharman  ,1,11/23/1952,1952,BOS,Away,ROC,0,2-pt FG,B. Brannum,Assisted,17,,21,9,13,0.692,,,,3,3,1,,,,,
Don Barksdale,1,11/22/1952,1952,BLB,N,PHW,-1,2-pt FG,unassisted,Unassisted,0,,14,6,,,,,,2,3,0.667,,,,,
Andy Phillip  ,2,11/1/1952,1952,PHW,Home,SYR,0,2-pt FG,unassisted,Unassisted,45,53,21,8,16,0.5,,,,5,7,0.714,11,10,,,
Arnie Johnson  ,2,3/13/1952,1952,ROC,Away,FTW,0,2-pt FG,B. Davies,Assisted,0,,15,5,11,0.455,,,,5,10,0.5,8,,,,
Neil Johnston  ,1,2/26/1952,1952,PHW,Away,INO,0,2-pt FG,W. Budko,Assisted,0,,10,4,,,,,,2,2,1,,,,,
Jack Coleman  ,2,2/14/1952,1952,ROC,Away,SYR,0,2-pt FG,unassisted,Unassisted,0,,16,7,,,,,,2,2,1,,,,,
Andy Phillip  ,1,2/1/1952,1952,PHW,Home,BLB,0,2-pt FG,unassisted,Unassisted,0,,14,5,10,0.5,,,,4,4,1,5,10,,,
Vince Boryla  ,1,12/18/1951,1951,NYK,Home,MNL,0,2-pt FG,C. Simmons,Assisted,30,,9,4,,,,,,1,1,1,,,,,
Chuck Cooper,1,2/21/1951,1951,BOS,Home,NYK,0,2-pt FG,S. Hertzberg,Assisted,20,,13,6,,,,,,1,4,0.25,,,,,
Ralph Beard  ,2,2/13/1951,1951,INO,Home,FTW,0,2-pt FG,B. Lavoy,Assisted,45,,21,8,,,,,,5,5,1,,,,,
Arnie Johnson  ,1,1/10/1951,1951,ROC,Away,BLB,0,2-pt FG,?,Assisted,,,17,6,7,0.857,,,,5,7,0.714,,,,,
Dolph Schayes  ,1,1/6/1951,1951,SYR,Away,NYK,0,2-pt FG,unassisted,Unassisted,10,,26,10,16,0.625,,,,6,9,0.667,15,4,,,
Ralph Beard  ,1,1/6/1951,1951,INO,Away,ROC,0,2-pt FG,P. Walther,Assisted,0,,17,8,23,0.348,,,,1,1,1,5,1,,,
Jack Coleman  ,1,11/29/1950,1950,ROC,Away,WSC,-1,2-pt FG,unassisted,Unassisted,0,,7,3,,,,,,1,1,1,,,,,
Johnny Payak,1,3/19/1950,1950,WAT,Home,TRI,0,2-pt FG,unassisted,Unassisted,8,,20,5,16,0.313,,,,10,14,0.714,,,,,
Carl Braun  ,2,3/8/1950,1950,NYK,Home,STB,0,2-pt FG,E. Vandeweghe,Assisted,30,,20,8,20,0.4,,,,4,7,0.571,,2,,,
Andy Duncan,1,2/26/1950,1950,ROC,Away,STB,0,2-pt FG,unassisted,Unassisted,0,,8,4,7,0.571,,,,0,1,0,,,,,
Bill Roberts,1,2/8/1950,1950,STB,Away,NYK,0,2-pt FG,B. Smawley,Assisted,35,,2,1,2,0.5,,,,0,1,0,,0,,,
Charlie Black,1,1/18/1950,1950,FTW,Away,SHE,-1,2-pt FG,?,Assisted,,,11,3,13,0.231,,,,5,8,0.625,,5,,,
Carl Braun  ,1,1/14/1950,1950,NYK,Home,BOS,0,2-pt FG,E. Vandeweghe,Assisted,,,21,10,23,0.435,,,,1,1,1,,7,,,
Dick McGuire,1,12/10/1949,1949,NYK,Home,CHS,0,2-pt FG,unassisted,Unassisted,0,,14,4,,,,,,6,9,0.667,,,,,
Herm Schaefer,1,2/26/1949,1949,MNL,Away,BLB,0,Free throw,,Free Throw,,,14,3,,,,,,8,9,0.889,,,,,
Belus Smawley,1,11/25/1948,1948,STB,Home,PRO,0,2-pt FG,?,Assisted,50,,16,6,,,,,,4,6,0.667,,,,,
John Logan,1,2/26/1948,1948,STB,Home,BOS,0,2-pt FG,?,Assisted,45,,18,5,14,0.357,,,,8,9,0.889,,,,,
Bob Feerick,1,1/22/1947,1947,WSC,Home,PHW,0,2-pt FG,?,Assisted,,,19,7,,,,,,5,7,0.714,,,,,
John Barr,1,12/10/1946,1946,STB,Away,CLR,-1,2-pt FG,A. Davis,Assisted,45,,4,2,,,,,,0,1,0,,,,,
